game_name,cpu,ram,gpu,storage,os
Hogwarts Legacy,Intel Core i5-6600,6 GB,NVIDIA GeForce GTX 980,30 GB,Windows 10
God of War,Intel Core i5-2500K,8 GB,NVIDIA GeForce GTX 960,70 GB,Windows 10 64-bit
Cyberpunk 2077,Intel Core i5-3570K  or FX-8310,8 GB,NVIDIA GeForce GTX 970  or Radeon RX 470,70 GB,Windows 10 64-Bit
Fortnite,Intel Core i3-3225,4 GB,Intel HD 4000  or Radeon HD 7870,15 GB,Windows 7/8/10 64-bit
Valorant,Intel Core 2 Duo E8400  or Athlon 200GE,4 GB,Intel HD 4000,23 GB,Windows 7 64-bit
Red Dead Redemption 2,AMD FX-6300,8 GB,AMD Radeon R9 280,150 GB,Windows 7 64-Bit
Choo-Choo Charles,Intel Core 2 Quad Q9705,4 GB,NVIDIA GeForce GTX 470,3 GB,Windows 7 64-bit
Apex Legends,Intel Core i3-6300  or FX-4350,6 GB,NVIDIA GeForce GT 640  or Radeon HD 7730,22 GB,Windows 7 64-bit
Rust,Intel Core i7-3770,8 GB,AMD Radeon R9 280,10 GB,Requires a 64-bit processor and operating system
Windows 11,Intel Celeron G4900,4 GB,NVIDIA GeForce GTX 1050,64 GB,Windows 10
Marvel’s Spider-Man Remastered,Intel Core i3-4160,8 GB,NVIDIA GeForce GTX 950,75 GB,Windows 10 64-bit
Need for Speed Unbound,Intel Core i5-8600,8 GB,NVIDIA GeForce GTX 1050 Ti,50 GB,Windows 10 64-bit
Death Stranding,Intel Core i5-3470,8 GB,AMD Radeon RX 560,80 GB,Windows 10
Football Manager 2023,AMD Athlon 64 FX-34,4 GB,AMD GeForce 9600M GT,7 GB,Windows 7
Call of Duty Modern Warfare 3,Intel Core 2 Duo E6600,2 GB,NVIDIA GeForce 8600 GT,16 GB,Windows XP
Xenia,Intel Pentium 4 2.00GHz,256 MB,ATI FireGL T2-128,310 MB,Windows 7/8/8.1/10
Lost Ark,Intel Core i3-2340UE,8 GB,AMD Radeon HD 6850,50 GB,Windows 10 (64-bit only)
Dead by Daylight,Intel Core i3-4170,8 GB,NVIDIA GeForce GTX 460,25 GB,"64-bit Operating Systems (Windows 7, Windows 8.1)"
Far Cry 4,Intel Core i5-750,4 GB,ATI Radeon HD 5850,30 GB,Windows® 7 (SP1) / Windows® 8 / Windows® 8.1 / (64-bit only)
Call of Duty WW2,Intel Core i3-3225,8 GB,AMD Radeon HD 7850,90 GB,Windows 7 64-Bit
7 Days to Die,Intel Core 2 Duo E8400,6 GB,AMD Radeon HD 5450,4 GB,Ubuntu 12.04
FIFA 20,AMD Phenom II X4 965,8 GB,NVIDIA GeForce GTX 660,50 GB,Windows 7
F1® 22,Intel Core i5-9600K,8 GB,AMD Radeon RX 470,80 GB,Windows 10 64-bit (Version 1909) | For Ray Tracing or VR: Windows 10 64-bit (Version 2004)
Jurassic World Evolution 2,Intel Core i5-4590,8 GB,AMD Radeon RX 470,14 GB,Windows 10 64bit (min version 1809)
Dead Space,Intel Core i5-8600K  or Ryzen 5 2600X,8 GB,NVIDIA GeForce GTX 970,1 GB,Microsoft Windows 10
eFootball  PES 2020,Intel Core i5-3470,4 GB,AMD Radeon HD 7870,40 GB,Windows 7 SP1/8.1/10 - 64bit
Lost Light,Intel Core i3-530,4 GB,AMD Radeon Pro 450,10 GB,"Windows7SP1, Windows8.1, Windows10"
WWE 2K22,Intel Core i5-3550,8 GB,NVIDIA GeForce GTX 1060,60 GB,Windows 10 64-bit
DCS World Steam Edition,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,
Sifu,AMD FX-4350,8 GB,AMD Radeon R7 250,22 GB,Windows 10
Call of Duty Ghosts,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,,
Borderlands 3,Intel Core i5-3570,6 GB,NVIDIA GeForce GTX 680,75 GB,Windows 7 Upwards 64 bit
Detroit: Become Human,Intel Core i7-3770,8 GB,NVIDIA GeForce GTX 780 Ti,,Windows 10
Blender,Intel Core i5-4590,8 GB,NVIDIA GeForce GTS 450,500 MB,Windows 8.1
Arma 3,Intel Core 2 Duo E8400,4 GB,AMD Radeon HD 5670,32 GB,Windows 7 SP1 (64bit)
Final Fantasy 7 Remake Intergrade,AMD FX-8350,8 GB,AMD Radeon RX 480,100 GB,Windows 10 64-bit
Halo Infinite,Intel Core i5-4460,8 GB,AMD Radeon RX 570,50 GB,Windows 10
Evil West,Intel Core i5-2500K  or FX-6300,8 GB,NVIDIA GeForce GTX 750 Ti  or Radeon RX 460,40 GB,windows 10
Planet Zoo,Intel Core i5-2500,8 GB,AMD Radeon R9 270X,16 GB,Windows 7 (SP1+)/8.1/10 64bit
Saints Row 4,Intel Core 2 Quad Q6600,4 GB,NVIDIA GeForce GTX 260,10 GB,Windows Vista (x86 or x64)
TEKKEN 7,Intel Core i3-4160,6 GB,NVIDIA GeForce GTX 660,60 GB,Windows 7/8/10 (64-bit OS required)
Goat Simulator 3,Intel Core i5-4690K,8 GB,NVIDIA GeForce GTX 1050 Ti,12 GB,Windows 10
Mortal Shell,Intel Core i5-4590,8 GB,NVIDIA GeForce GTX 970,12 GB,Windows 7 SP1 or newer
Pro Soccer Online,Intel Core 2 Quad Q9705,8 GB,NVIDIA GeForce GTX 470,2 GB,Windows 7
Call of Duty Black Ops 2,Intel Core 2 Duo E8200,2 GB,ATI Radeon HD 3870,16 GB,Windows 7
UNCHARTED™: Legacy of Thieves Collection,Intel Core i5-4330M  or Ryzen 3 1200,8 GB,NVIDIA GeForce GTX 960  or Radeon R9 290X,126 GB,Windows 10
Teardown,Intel Core i5 750S,4 GB,NVIDIA GeForce GTX 1060,4 GB,Windows 7
Black Desert Online,Intel Core i3-530,4 GB,ATI Radeon HD 3870,27 GB,Windows 7 or higher (32-bit or 64-bit)
Battlefield 5,Intel Core i5-6600K,8 GB,NVIDIA GeForce GTX 1050,50 GB,"64-bit Windows 7, Windows 8.1 and Windows 10"
Assetto Corsa,Intel Core 2 Duo U7500,2 GB,NVIDIA GeForce GTX 460,15 GB,Windows 7 Sp1 - 8 - 8.1 - 10
PROJECT: PLAYTIME,Intel Core i5-4400E,8 GB,AMD Radeon RX 580,20 GB,Windows 10
ARK: Survival Evolved,Intel Core i5-2400,8 GB,AMD Radeon HD 7870,60 GB,Ubuntu Equivalent Distro
Project Zomboid,Intel Core 2 Quad Q9705,8 GB,AMD Radeon HD 5450,,
Marvel’s Spider-Man: Miles Morales,Intel Core i3-4160,8 GB,AMD Radeon RX 470,75 GB,Windows 10 64-bit 1909
League of Legends,Intel Core i3-530,2 GB,AMD Radeon HD 6570,16 GB,"Windows XP (Service Pack 3 ONLY), Windows Vista, Windows 7, Windows 8, or Windows 10"
BeamNG.drive,Intel Core i3-6300,8 GB,NVIDIA GeForce GTX 550 Ti,18 GB,Windows 7 Service Pack 1
Star Wars Jedi: Fallen Order,Intel Core i3-3220,8 GB,AMD Radeon HD 7750,55 GB,64-bit Windows 7/8.1/10
Stray,Intel Core i5-2300,8 GB,AMD Radeon R7 360,10 GB,Windows 10
Adobe Premiere Pro,Intel Core i3-6100,8 GB,NVIDIA GeForce GTX 970,8 GB,Windows 10 64-Bit
Dwarf Fortress,Intel Core 2 Duo Q6867,4 GB,AMD Radeon HD 5450,500 MB,XP SP3 or later
The Sims 4,Intel Core 2 Duo T7600,2 GB,ATI Radeon HD 2600 PRO,20 GB,"Windows XP (SP3), Windows Vista (SP2), Windows 7 (SP1), Windows 8, Windows 8.1, or Windows 10"
theHunter: Call of the Wild,Intel Core i3-4170,4 GB,NVIDIA GeForce GTX 660,60 GB,64bit OS - Windows 7
Crusader Kings 3,Intel Core i3-2120,4 GB,AMD Radeon HD 7870,8 GB,Ubuntu 18.04
IXION,Intel Core i5-3570K,8 GB,AMD Radeon RX 590,20 GB,Windows 10 64-bit
Predecessor,Intel Core i5-4590,8 GB,AMD Radeon RX 550,14 GB,Windows 10 Home 64 Bit
Euro Truck Simulator 2,Intel Celeron J1800,4 GB,Intel HD 4000,3 GB,Linux Ubuntu 12.04
It Takes Two,Intel Core i3-2100T,8 GB,AMD Radeon R7 260X,50 GB,Windows 8.1 64-bit or Windows 10 64-bit
Squad,Intel Core i5-2500K,8 GB,AMD Radeon HD 7870,35 GB,Windows 7 SP1 (x64)
DOOM 2016,Intel Core i5-2400,8 GB,AMD Radeon HD 7870,55 GB,Windows 7/8.1/10 (64-bit versions)
Lego Star Wars The Skywalker Saga,Intel Core i5-2400,8 GB,AMD Radeon HD 7850,40 GB,Windows 10 64-bit
Need For Speed Payback,Intel Core i3-6300,6 GB,NVIDIA GeForce GTX 750 Ti,30 GB,Windows
Subnautica,Intel Core i5-4200M,4 GB,Intel HD 4600,20 GB,"Windows Vista SP2 or newer, 64-bit"
Sons of the Forest,Intel Core i3-2120,4 GB,NVIDIA GeForce GTX 660,15 GB,Windows 7
Sid Meier’s Civilization 6,Intel Core i3-530,6 GB,NVIDIA GeForce GTX 650,15 GB,"SteamOS, Ubuntu 16.04 (64bit)"
Roblox,Intel Celeron D 430,1 GB,AMD Radeon 9500,1 GB,Windows 7
DARK SOULS III,Intel Core i3-2100,4 GB,NVIDIA GeForce GTX 750 Ti,25 GB,"Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit"
Assassin's Creed IV Black Flag,Intel Core 2 Quad Q8400,2 GB,ATI Radeon HD 4870,30 GB,Windows Vista SP2 or Windows 7 SP1 or Windows 8 (both 32/64bit versions)
Anno 1800,Intel Core i5-4460,8 GB,AMD Radeon R9 270X,40 GB,Windows 10 64 bit
World of Tanks,Intel Pentium D 805,4 GB,NVIDIA GeForce 6800,16 GB,Windows XP / Vista / 7 / 8 / 10
Metro: Last Light Redux,Intel Core i5-650,4 GB,NVIDIA GeForce GTX 460,10 GB,64-bit Ubuntu 12.04 or 14.04 or Steam OS
GTA 6,Intel Core i5-6600K,8 GB,NVIDIA GeForce GTX 1660,150 GB,Windows 10
Adobe Lightroom,Intel Core i3-2120,4 GB,NVIDIA GeForce GTX 960,2 GB,Windows 10 64-Bit
Battlefield 4,Intel Core 2 Duo Q6867,4 GB,ATI Radeon HD 3870,30 GB,Windows 8 32-bit
Need for Speed (2015),Intel Core i3-4130,6 GB,AMD Radeon HD 7850,30 GB,64-bit Windows 7 or later
Batman: Arkham Knight,Intel Core i5-750,6 GB,AMD Radeon HD 7870,45 GB,"Win 7 SP1, Win 8.1 (64-bit Operating System Required)"
Monster Hunter Rise,AMD FX-6100,8 GB,AMD Radeon RX 550,23 GB,Windows 10 (64-bit)
Hitman 3,Intel Core i5-2500K,8 GB,NVIDIA GeForce GTX 660,80 GB,Windows 10 64-Bit
Hell Let Loose,Intel Core i5-6600,12 GB,AMD Radeon R9 380,30 GB,Windows10 64bit
Metro Exodus,Intel Core i5-4440,8 GB,AMD Radeon R9 380,,Ubuntu 20
Far Cry 3,Intel Core 2 Duo E6700,4 GB,NVIDIA GeForce 8500 GT,15 GB,"Windows XP, Windows Vista and Windows 7"
Mafia: Definitive Edition,Intel Core i5-2550K,6 GB,NVIDIA GeForce GTX 660,50 GB,Windows 10 64-bit
Overprime,Intel Core i5-4570,8 GB,AMD Radeon R9 380,15 GB,Windows® 7
BlueStacks,Intel Core 2 Duo E8400,4 GB,Intel HD Family,5 GB,Windows 7
Resident Evil 2,Intel Core i5-4460  or FX-6300,8 GB,NVIDIA GeForce GTX 960  or Radeon RX 460,26 GB,Windows 10
Hearts of Iron IV,AMD Athlon II X4 650,4 GB,NVIDIA GeForce GTX 470,2 GB,Ubuntu 14.04 LTS x32
F1® Manager 2022,Intel Core i5-4590,8 GB,AMD Radeon R9 280X,30 GB,Windows 10 64-bit
Stream Games,Intel Core 2 Duo Q6867,512 MB,ATI FireGL T2-128,30 MB,Microsoft® Windows® XP or later
Warframe,Intel Core 2 Duo E6400,4 GB,Intel HD 3000,10 GB,Windows 7 64-Bit
DEATH STRANDING: Director's Cut,Intel Core i5-3470,8 GB,AMD Radeon RX 560,80 GB,Windows® 10
Satisfactory,Intel Core i5-3570K,8 GB,NVIDIA GeForce GTX 660,20 GB,Windows 7 or later (64-Bit)
Devil May Cry 5,Intel Core i7-4770,8 GB,NVIDIA GeForce GTX 760,35 GB,WINDOWS® 7 (64-BIT Required)
Watch Dogs 2,AMD FX-6300,6 GB,NVIDIA GeForce GTX 660,27 GB,"Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions only)"
Mortal Kombat 11,Intel Core i5-750,8 GB,NVIDIA GeForce GTX 1050,,64-bit Windows 7 / Windows 10
A Plague Tale: Requiem,Intel Core i5-4690K,16 GB,AMD Radeon RX 590,55 GB,Windows 10 (20H1 64 bits)
Resident Evil Village,Intel Core i5-7500,8 GB,NVIDIA GeForce GTX 1050 Ti,50 GB,Windows 10 (64 bit)
Far Cry 5,AMD FX-6300,8 GB,NVIDIA GeForce GTX 670,40 GB,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)"
PAYDAY 2,Intel Core Duo T2450,4 GB,AMD Radeon HD 6450,31 GB,Windows 7
Forza Horizon 3,Intel Core i5-3570,8 GB,NVIDIA GeForce GTX 750 Ti,55 GB,Windows 10
FIFA 21,Intel Core i3-6100,8 GB,NVIDIA GeForce GTX 660,50 GB,Windows 10 64-Bit
Need for Speed Heat,AMD FX-6350,8 GB,NVIDIA GeForce GTX 760,50 GB,Windows 10
Call of Duty Black Ops 3,Intel Core i3-530,6 GB,AMD Radeon HD 6970,100 GB,Windows 7 64-Bit
Dying Light,AMD FX-8320,4 GB,NVIDIA GeForce GTX 560,40 GB,Ubuntu 14.04 64-bit and newer recommended
Call of Duty: Modern Warfare,Intel Core i5-2500,8 GB,AMD Radeon R9 380,50 GB,Windows 7 64Bit
Hades,Intel Core 2 Duo Q6867,4 GB,NVIDIA GeForce 8500 GT,15 GB,Windows 7 SP1
CRISIS CORE –FINAL FANTASY VII– REUNION,Intel Core i3-3210,8 GB,AMD Radeon RX 460,30 GB,Windows® 10 / Windows® 11 64-bit
Diablo 2: Resurrected,Intel Core i3-3250,8 GB,NVIDIA GeForce GTX 660,30 GB,Windows 10
Victoria 3,Intel Core i3-3250,8 GB,AMD Radeon R7 370,10 GB,Ubuntu 20.04 LTS
Welcome to the Game,Intel Pentium 4 4.00GHz,2 GB,ATI FireGL V7350,3 GB,Windows 7
Dishonored Definitive Edition,Intel Core 2 Duo Q6867,3 GB,ATI Radeon HD 5850,9 GB,Windows Vista / Windows 7
Assassin's Creed Unity,Intel Core i5-2500K,6 GB,NVIDIA GeForce GTX 680,50 GB,"Windows 7 SP1, Windows 8/8.1 (64-bit operating system required)"
Days Gone,Intel Core i5-2500K,8 GB,NVIDIA GeForce GTX 780,70 GB,Windows 10 64-bits
Grounded,Intel Core i3-3225,4 GB,NVIDIA GeForce GTX 650 Ti,8 GB,Windows 7 (SP1) 64bit
Marvel's Midnight Suns,Intel Core i5-4430,8 GB,AMD Radeon RX 470,60 GB,Windows 10 64-bit
Portal with RTX,Intel Core i7-6700  or Ryzen 5 3600,16 GB,NVIDIA GeForce RTX 3060,25 GB,Windows 10
The Callisto Protocol,Intel Core i5-8400  or Ryzen 5 2600,8 GB,AMD Radeon RX 580  or GeForce GTX 1060,75 GB,Windows 10/11
Diablo 4,Intel Core i5-6500,8 GB,NVIDIA GeForce GTX 1050 Ti,50 GB,Windows 10
Forza Horizon 5,Intel Core i5-4460,8 GB,AMD Radeon RX 470,110 GB,Windows 10 version 1909 or higher
Dark and Darker,Intel Core 2 Quad Q9705,8 GB,AMD Radeon RX 580,12 GB,"64-bit Windows 10, 11"
The Witcher 3,AMD Phenom II X4 940,6 GB,NVIDIA GeForce GTX 660,35 GB,"64-bit Windows 7, 64-bit Windows 8 (8.1) or 64-bit Windows 10"
Overwatch 2,Intel Core i3-530  or Phenom 8650,6 GB,NVIDIA GeForce GTX 650  or Radeon HD 7350,50 GB,Windows 10 64-bit
Assassin's Creed Valhalla,Intel Core i5-4460,8 GB,NVIDIA GeForce GTX 960,50 GB,Windows 10
Genshin Impact,Intel Core i5-4460,8 GB,NVIDIA GeForce GT 1030,30 GB,Windows 7
Fall Guys,Intel Core i5-2300  or Ryzen 3 1200,8 GB,NVIDIA GeForce GTX 660  or Radeon HD 7950,2 GB,Windows 10 64-bit
Microsoft Flight Simulator,Intel Core i5-4460,8 GB,AMD Radeon RX 570,150 GB,Windows 10
CSGO,Intel Core 2 Duo E6600,2 GB,NVIDIA GeForce 7300 GT,15 GB,Ubuntu 12.04
No Man's Sky,Intel Core i3-3210,8 GB,NVIDIA GeForce GTX 1060  or Radeon RX 470,15 GB,Windows 7/8.1/10 (64-bit versions)
X-Plane 12,Intel Core i5-4400E,8 GB,AMD Radeon HD 5450,23 GB,Varies
Assassin's Creed Odyssey,Intel Core i5-2400,8 GB,NVIDIA GeForce GTX 660,46 GB,"Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions only)"
Assassin's Creed Origins,AMD FX-6350,6 GB,NVIDIA GeForce GTX 660,42 GB,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)"
Destiny 2,AMD FX-4350,6 GB,AMD Radeon HD 7850,105 GB,Windows 7 64-bit / Windows 8.1 64-bit / Windows 10 64-bit
DarkTide,Intel Pentium 4 2.00GHz,2 GB,ATI FireGL T2-128,200 MB,Windows 7
The Elder Scrolls V: Skyrim,Intel Core 2 Duo E4400,2 GB,AMD Radeon X1950 Pro,6 GB,Windows 7/Vista/XP PC (32 or 64 bit)
Farming Simulator 22,Intel Core i5-3330,8 GB,NVIDIA GeForce GTX 660,35 GB,Windows 10 Home (x64)
Mount & Blade II: Bannerlord,Intel Core i3-8100,6 GB,AMD Radeon HD 7850,60 GB,Windows 7 (64-bit only)
STAR WARS Jedi: Survivor™,Intel Core i7-7700,8 GB,AMD Radeon RX 580,130 GB,Windows 10 64-bit
Cities Skylines,Intel Core 2 Duo T7600,4 GB,NVIDIA GeForce GTX 260,4 GB,Ubuntu 12.04 (64-bit)
Sea of Thieves,Intel Core 2 Quad Q9450,4 GB,NVIDIA GeForce GTX 650,50 GB,Windows 10
FIFA 19,Intel Core i3-2100,8 GB,AMD Radeon R7 260,50 GB,Windows 7/8.1/10 - 64-Bit
Phasmophobia,AMD FX-8350,8 GB,AMD Radeon R9 290 / 390,16 GB,Windows 10 64Bit
Persona 5 Royal,Intel Core i7-4790,8 GB,AMD Radeon R7 360  or GeForce GTX 650 Ti,41 GB,Windows 10
God of War Ragnarok,Intel Core i5-4670  or Ryzen 5 1600,8 GB,NVIDIA GeForce GTX 1060  or Radeon RX 580,110 GB,Windows 10
Total War: Warhammer 3,Intel Core i3-2120,6 GB,AMD Radeon RX 460,120 GB,Windows 7 64-bit
Oculus Quest 2,Intel Core i5-4590,8 GB,NVIDIA GeForce GTX 970,10 GB,Windows 10
Star Citizen,Intel Core i5-8400  or Ryzen 5 1600,16 GB,NVIDIA GeForce GTX 970  or Radeon RX 570,83 GB,Windows 8.1 64-bit
Left 4 Dead 2,Intel Core 2 Duo E7400,2 GB,NVIDIA GeForce 6200,13 GB,Ubuntu 12.04
PUBG: Battlegrounds,AMD FX-6300,8 GB,AMD Radeon R9 270 / R7 370,40 GB,Windows 7 64-bit
Minecraft,Intel Core i3-3210,4 GB,Intel HD 4000,2 GB,Any modern distributions from 2014 onwards
"Warhammer 40,000: Darktide",Intel Core i5-6600  or Ryzen 5 2600,8 GB,NVIDIA GeForce GTX 970  or Radeon RX 570,50 GB,Windows 10
Tom Clancys Rainbow Six Siege,AMD Phenom II X4 945,6 GB,NVIDIA GeForce GTX 460,61 GB,"Windows 7, Windows 8.1, Windows 10 (64bit versions required)"
Call of Duty Modern Warfare 2,Intel Core i5-2500K  or Ryzen 3 1200,8 GB,NVIDIA GeForce GTX 960  or Radeon RX 470,125 GB,Windows 10
The Forest,Intel Core 2 Duo T7700,4 GB,NVIDIA GeForce 8800 GT,5 GB,Windows 7
New World,Intel Core i5-2400,8 GB,AMD Radeon R9 280,50 GB,Windows® 10 64-bit
Sekiro: Shadows Die Twice,Intel Core i3-2100,4 GB,NVIDIA GeForce GTX 760,25 GB,Windows 7 64-bit | Windows 8 64-bit | Windows 10 64-bit
World of Warcraft Dragonflight,Intel Core i7-4790K,8 GB,NVIDIA GeForce GTX 970,128 GB,Windows 7
Valheim,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,1 GB,Any up to date version
Starfield,Intel Core i5-4690K,8 GB,NVIDIA GeForce GTX 1060,75 GB,Windows 10
World of Warcraft,Intel Core i5-760,4 GB,NVIDIA GeForce GTX 560,70 GB,Windows 7 64-Bit
Forza Horizon 4,Intel Core i3-4170,8 GB,NVIDIA GeForce GTX 650 Ti,65 GB,Windows  10
eFootball™ 2022,Intel Core i5-2300,8 GB,AMD Radeon HD 7790,50 GB,Windows 10 - 64bit
Ready Or Not,Intel Core i5-4430,8 GB,AMD Radeon R7 370,30 GB,"64-bit Windows 7, Windows 8.1, Windows 10"
Adobe Photoshop,Intel Core i7-920,8 GB,NVIDIA GeForce GTX 950,4 GB,Windows 10 64-bit
Escape From Tarkov,Intel Core i3-530  or Phenom II X4 955,8 GB,NVIDIA GeForce GTX 950  or Radeon R9 270X,19 GB,Windows 7
FIFA 22,AMD Athlon X4 880K,8 GB,AMD Radeon HD 7850,50 GB,Windows 10
Half-Life: Alyx,Intel Core i5-7500,12 GB,NVIDIA GeForce GTX 1060,,Windows 10
Dying Light 2 Stay Human,Intel Core i3-9100,8 GB,AMD Radeon RX 560,60 GB,Windows® 7
Knights of Honor II – Sovereign,Intel Core i5-2500K,8 GB,AMD Radeon HD 7870,14 GB,Windows 10/11
Wolfenstein: The New Order,Intel Core i7-610,4 GB,AMD Radeon HD 6850,50 GB,64-bit Windows 7/Windows 8
GTA 4,AMD Athlon 64 X2 TK-55,1.5 GB,ATI Radeon X1900,16 GB,Windows Vista - Service Pack 1 / Windows XP - Service Pack 3
Dota 2,Intel Pentium D 915,4 GB,Intel HD 3000,15 GB,Ubuntu 12.04 or newer
Horizon Zero Dawn,Intel Core i5-2500K,8 GB,NVIDIA GeForce GTX 780,100 GB,Windows 10 64-bits
Age of Empires 4,Intel Core i5-6300U,8 GB,AMD Radeon RX Vega,50 GB,Windows 10 64bit
Fallout 4,AMD Phenom II X4 945,8 GB,AMD Radeon HD 7870,30 GB,Windows 7/8/10 (64-bit OS required)
Battlefield 2042,Intel Core i5-6600K,8 GB,AMD Radeon RX 560,100 GB,Windows 10
Rocket League,Intel Core 2 Quad Q6600,2 GB,ATI Radeon HD 4850,7 GB,
Dragonflight,Intel Core i5-4590,4 GB,NVIDIA GeForce GTX 970,800 MB,windows 7
NBA 2K23,Intel Core i3-2100,4 GB,AMD Radeon HD 7770,110 GB,"Windows 7 64-bit, Windows 8.1 64-bit or Windows 10 64-bit"
Raft,Intel Core 2 Duo Q6867,4 GB,ATI FireGL T2-128,6 GB,Windows 7 or later
The Last of Us™ Part I,Intel Pentium 4 2.00GHz,4 GB,ATI FireGL T2-128,,TBD
Battlefield 1,Intel Core i5-6600K,8 GB,NVIDIA GeForce GTX 660,50 GB,"64-bit Windows 7, Windows 8.1 and Windows 10"
Call of Duty: Warzone,Intel Core i3-4340  or FX-6300,8 GB,NVIDIA GeForce GTX 670  or GeForce GTX 1650 or Radeon HD 7950,175 GB,Windows 10 64-bit
Gotham Knights,Intel Core i5-9600K,8 GB,NVIDIA GeForce GTX 1660 Ti,45 GB,Windows 10 64-bit
DOOM Eternal,Intel Core i5-661,8 GB,AMD Radeon R9 280,50 GB,64-bit Windows 7 / 64-Bit Windows 10
DayZ,Intel Core i5-4430,8 GB,NVIDIA GeForce GTX 760,16 GB,Windows 7/8.1 64-bit
Baldur's Gate 3,Intel Core i5-4690  or FX-4350,8 GB,NVIDIA GeForce GTX 780  or Radeon R9 280X,150 GB,Windows 7 64-bit
Sonic Frontiers,Intel Core i5-3470,8 GB,AMD Radeon HD 7870,30 GB,Windows 10
War Thunder,Intel Celeron J1800,4 GB,NVIDIA GeForce GTX 660,8 GB,"Most modern 64-bit Linux distributions, SteamOS"
eFootball PES 2021,Intel Core i5-3470,8 GB,AMD Radeon HD 7870,40 GB,Windows 8.1/10 - 64bit
High On Life,Intel Core i5-650,8 GB,NVIDIA GeForce GTX 1060,50 GB,Windows 10 64-bit
FINAL FANTASY XIV,Intel Core i5-450M,3 GB,AMD Radeon R7 260X,60 GB,"Windows® 7 32/64 bit, Windows® 8.1 32/64 bit, Windows® 10 32/64 bit"
Elden Ring,Intel Core i5-8400  or Ryzen 3 3300X,12 GB,NVIDIA GeForce GTX 1060 3GB  or Radeon RX 580,60 GB,Windows 10
FIFA 23,Intel Core i5-6600K,8 GB,NVIDIA GeForce GTX 1050 Ti,100 GB,Windows 10 64-bit
GTA 5,Intel Core 2 Quad Q6600  or Phenom 9850,4 GB,NVIDIA GeForce 9800 GT  or Radeon HD 4870,72 GB,Windows 7 64-bit
Call of Duty: Warzone 2,Intel Core i5-2500K  or Ryzen 3 1200,8 GB,NVIDIA GeForce GTX 960  or Radeon RX 470,125 GB,Windows 10 64-bit
Far Cry 6,Intel Core i5-4460,8 GB,NVIDIA GeForce GTX 960,60 GB,Windows 10
Path of Exile,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce GTX 650,20 GB,Windows XP SP3/Windows 7 SP1/Windows 8
Sniper Elite 4,Intel Core i3-2100,4 GB,NVIDIA GeForce GTX 660,40 GB,"64-bit Windows 7, 64-bit Windows 8.1 or 64-bit Windows 10"
Ranch Simulator,Intel Core i5-3570K,8 GB,AMD Radeon RX 470,15 GB,Windows 10 (64-bit versions only)
A Way Out,Intel Core i3-2100T,8 GB,AMD Radeon HD 7750,25 GB,"Windows 7 64-bit, 8.1 64-bit or Windows 10 64-bit"
GUILTY GEAR -STRIVE-,Intel Core i5-3450,4 GB,AMD Radeon HD 6870,20 GB,Windows 8/10 (64-bit OS required)
NARAKA: BLADEPOINT,AMD FX-6300,8 GB,NVIDIA GeForce GTX 750 Ti,20 GB,Windows 7 64-bit or newer
Star Wars: The Old Republic,AMD Athlon 64 X2 4000+,2 GB,NVIDIA GeForce GT 610,50 GB,"Windows XP, Vista, 7"
STALCRAFT,Intel Core i5-2400,4 GB,AMD Radeon HD 6950,20 GB,Windows 10 (64-bit)
Trader Life Simulator,Intel Core i5-3570,4 GB,NVIDIA GeForce GTX 770,17 GB,Windows 10 (64-Bit)
Tower! Simulator 3.,Intel Pentium 4 4.00GHz,8 GB,AMD Radeon R5 M230,20 GB,"64 bit Windows 8.1, Windows 10 or Windows 11"
Red Dead Online,Intel Core i5-2500K,4 GB,AMD Radeon R9 280,150 GB,Windows 7 - Service Pack 1 (6.1.7601)
Garry's Mod,Intel Core 2 Duo E8400,4 GB,Intel HD 3000,5 GB,Ubuntu 12.04
Tiny Tina's Wonderlands,Intel Core i5-3570,6 GB,NVIDIA GeForce GTX 960,75 GB,Windows 10
ARK 2,Intel Core i5-6600K,8 GB,NVIDIA GeForce GTX 980,40 GB,Windows 7
World War Z,AMD A10-5700,8 GB,ATI Radeon HD 5870,35 GB,Windows 7
Assassin's Creed 2,8 GB,ATI FireMV 2400 PCIe,Intel Core 2 Duo Q6867,Windows® XP (32-64 bits) /Windows Vista®(32-64 bits)/Windows 7® (32-64 bits),Windows® XP (32-64 bits) /Windows Vista®(32-64 bits)/Windows 7® (32-64 bits)
PUBG Lite,Intel Core i3-530,4 GB,Intel HD 4000,4 GB,"Windows 7,8,10,64bit"
Chimeraland,Intel Core i3-10300,8 GB,NVIDIA GeForce GTX 760,12 GB,"64-bit Windows 10,Other Windows systems with DirectX 11 installed"
Call of Duty Infinite Warfare,Intel Core i3-3225,8 GB,AMD Radeon HD 7850,70 GB,Windows 7 64-Bit
