game_name,cpu,ram,gpu,storage,os
Occulto,Intel Core 2 Duo Q6867,1 GB,NVIDIA GeForce 7100 / nForce 630i,500 MB,Windows 7 SP1+ or newer
The End of it All,Intel Core i3-2340UE,2 GB,NVIDIA GeForce GTX 660,1 GB,Windows 10
REAVER DEMO,Intel Core i5-2320,4 GB,NVIDIA GeForce GTX 960,2 GB,Windows 10 x64
Dnaxcat vr,Intel Core i5-7500,4 GB,NVIDIA GeForce GTX 1050,1 GB,Windos 10
Dream House Days DX,Intel Atom x7-Z8750,1 GB,NVIDIA GeForce 510,250 MB,Windows 10 64bit
RTE worlds,Intel Core i5-4400E,16 GB,NVIDIA GeForce GTX 950,20 GB,windows 10
Tatari,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce GTX 960,6 GB,Windows 10
Game Dev Story,Intel Atom x7-Z8750,1 GB,NVIDIA GeForce 510,250 MB,Windows 10 64bit
Dungeon Village,Intel Atom x7-Z8750,1 GB,NVIDIA GeForce 510,250 MB,Windows 10 64bit
Super Life: Franchise Lord,Intel Core 2 Duo Q6867,2 GB,NVIDIA GeForce GTX 660,400 MB,Windows 7
Station Manager,Intel Atom x7-Z8750,1 GB,NVIDIA GeForce 510,250 MB,Windows 10 64bit
Screaming Loaf,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,450 MB,Windows 10
Moka Future,Intel Core 2 Duo E8400,4 GB,NVIDIA GeForce 510,1 GB,
The Last Shape,Intel Core i7-2600,16 GB,AMD Radeon HD 5450,60 MB,Windows 7
rote²,Intel Atom Z510,1 GB,ATI FireGL T2-128,50 MB,Windows 7 / 8 / 8.1 / 10
Mayu: Last of the Yaksha,Intel Pentium 4 2.00GHz,2 GB,NVIDIA GeForce 7100 / nForce 630i,300 MB,Windows 10
Please Fix The Road,Intel Core 2 Duo Q6867,2 GB,ATI FireGL T2-128,1 GB,
Ninja JaJaMaru: The Great Yokai Battle + Hell,Intel Core i5-8500,8 GB,Intel UHD 630,600 MB,Windows 10
FISTS OF INVOKERS,Intel Core i5-3470,4 GB,NVIDIA GeForce GTX 750 Ti,10 GB,Windows 7/8/10 x64
Puzzle: Nature,Intel Core 2 Duo E8400,1 GB,NVIDIA GeForce 7600 GS,1 GB,Windows 7/8/10
